fec;pet;eur;oro;dol;c18;c36;ibe
141217;63.31;3550.34;1307.90;3015.41;55.160;60.276;10176.50
151217;63.23;3528.11;1308.10;2999.07;55.215;59.914;10150.40
161217;63.07;3525.21;1310.78;2996.61;55.224;59.555;10173.23
171217;63.17;3525.21;1314.86;2996.61;55.162;59.238;10213.11
181217;63.41;3539.30;1316.30;2996.61;55.000;59.000;10244.10
191217;63.80;3513.87;1315.50;2975.59;54.724;58.869;10234.30
201217;64.56;3531.09;1321.10;2972.05;54.367;58.828;10207.70
211217;64.90;3517.11;1322.00;2965.77;53.976;58.849;10304.60
221217;65.25;3506.80;1330.50;2963.58;53.598;58.905;10182.00
231217;65.91;3505.10;1303.26;2962.14;53.278;58.967;10091.28
241217;66.66;3505.10;1268.44;2962.14;53.063;59.008;10090.50
251217;67.14;3505.10;1277.90;2962.14;53.000;59.000;10133.39
261217;67.02;3514.28;1339.20;2962.14;53.118;58.923;10173.71
271217;66.44;3522.72;1343.00;2962.26;53.380;58.790;10165.20
281217;66.72;3547.23;1350.10;2971.63;53.734;58.622;10093.10
291217;66.87;3582.89;1362.60;2984.00;54.126;58.438;10043.90
301217;66.54;3582.89;1335.32;2984.00;54.504;58.259;10034.72
311217;66.09;3582.89;1299.65;2984.00;54.812;58.107;10049.59
10118;65.95;3582.89;1308.70;2984.00;55.000;58.000;10070.41
20118;66.57;3593.93;1370.50;2984.00;55.029;57.954;10079.10
30118;67.84;3535.60;1374.20;2940.94;54.928;57.955;10116.00
40118;68.07;3511.94;1377.40;2908.68;54.740;57.984;10314.40
50118;67.62;3473.01;1378.40;2885.76;54.509;58.022;10411.40
60118;67.23;3488.13;1379.97;2898.32;54.279;58.051;10420.96
70118;67.21;3488.13;1380.98;2898.32;54.095;58.050;10402.18
80118;67.78;3470.74;1376.80;2898.32;54.000;58.000;10398.40
90118;68.82;3457.41;1370.00;2898.32;54.025;57.889;10426.50
100118;69.20;3491.42;1377.00;2914.37;54.148;57.732;10428.30
110118;69.26;3487.86;1380.10;2895.69;54.333;57.550;10435.20
120118;69.87;3480.50;1394.40;2865.79;54.546;57.364;10462.40
130118;70.56;3468.44;1371.79;2855.86;54.752;57.196;10458.47
140118;70.83;3468.44;1337.40;2855.86;54.915;57.068;10445.03
150118;70.26;3504.71;1341.80;2855.86;55.000;57.000;10467.20
160118;69.15;3492.43;1396.80;2855.86;54.982;57.008;10520.40
170118;69.38;3510.76;1399.70;2868.03;54.878;57.085;10474.60
180118;69.31;3489.21;1387.40;2851.13;54.715;57.215;10432.70
190118;68.61;3467.48;1394.30;2836.85;54.518;57.386;10479.50
200118;68.24;3485.69;1398.59;2851.75;54.316;57.583;10522.62
